binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1506.35 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1312.2 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1482.28 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1459.58 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1564.72 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1891.92 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1471.73 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1566.82 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1483.79 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1407.63 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  3046.38 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  2947.34 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  3054.7 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  3168.08 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  2881.81 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  2760.42 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  2879.32 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  2787.94 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  2885.19 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  3014.99 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  994.516 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1033.43 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1041.97 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1035.03 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1332.21 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1466.05 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1056.21 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1350.18 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1408.68 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1046.14 
